id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18461891,"Bright, comfortable 1B studio near everything!",916092,Connie Mae,Queens,Ditmars Steinway,40.77414229,-73.916246,Entire home/apt,110,6,0,,,1,0
20702398,Quiet house on City Island,1457680,James,Bronx,City Island,40.84919062,-73.78650889,Private room,50,1,2,10/1/17,2,1,169
6627449,Large 1 BDRM in Great location,13886510,Arlene,Bronx,City Island,40.84977457,-73.78660939,Entire home/apt,125,3,21,9/26/17,0.77,1,363
19949243,Stay aboard  a sailboat,1149260,MoMo,Bronx,City Island,40.84883794,-73.78227587,Entire home/apt,100,3,0,,,1,90
1886820,Quaint City Island Community. ,9815788,Steve,Bronx,City Island,40.84114416,-73.78305229,Entire home/apt,300,7,0,,,1,365
5557381,Quaint City Island Home,28811542,Phoebe,Bronx,City Island,40.85002381,-73.78932759,Private room,69,3,94,7/31/17,3.27,1,325
19609887,Sweet Getaway,137892083,Gladis,Bronx,City Island,40.85197955,-73.78930423,Entire home/apt,150,2,3,9/24/17,1.58,1,74
7949480,City Island Sanctuary BR & Private Bath w Parking,119445,Linda & Didier,Bronx,City Island,40.85205378,-73.78867963,Private room,101,1,31,9/1/17,1.49,1,179
21057372,Relax and unwind on the water.,151702414,David,Bronx,City Island,40.84212398,-73.78519698,Entire home/apt,100,1,0,,,1,364
16042478,WATERFRONT STUDIO APARTMENT,9117975,Collins,Bronx,City Island,40.85349119,-73.78860659,Private room,200,7,0,,,1,180
9147025,Cozy City Island Cottage,403032,Diane,Bronx,City Island,40.84486957,-73.7895405,Entire home/apt,125,2,60,10/1/17,2.78,1,137
1936633,Great 1BD waterfront City Island NY,10018391,Alex,Bronx,City Island,40.85258204,-73.78762098,Entire home/apt,115,3,49,5/23/17,1.09,1,0
19758402,Autumn getaway -House near beach & woodland trails,139415761,Deb,Bronx,City Island,40.8530609,-73.78948149,Entire home/apt,62,2,9,9/25/17,3.7,1,79
11675715,Cozy 1 BR Basement Apartment,56714504,Josue,Bronx,City Island,40.85139148,-73.78413887,Entire home/apt,85,1,110,9/11/17,5.88,1,332
3400359,Awesome Deal NYC,16286162,Pat,Bronx,Allerton,40.86676961,-73.85937793,Private room,44,2,72,9/21/17,1.82,4,339
4407790,Retreat Room,16286162,Pat,Bronx,Allerton,40.86681965,-73.85811594,Private room,47,2,35,5/5/17,0.98,4,130
715270,2 Beds/Queen & Full Beautiful Room 40 minsT.Square,3684360,Enrique,Bronx,Allerton,40.85955928,-73.87066898,Private room,39,2,131,9/15/17,2.17,5,354
18852048,"Clean, spacious and comfortable room at Bronx",108922928,Zeeshan,Bronx,Allerton,40.85960508,-73.86360867,Private room,49,3,1,6/1/17,0.24,1,0
759901,GREAT PRICE for GREAT GUESTS ONLY,873273,Christian & Carla,Bronx,Allerton,40.86633066,-73.85642849,Private room,85,5,33,3/31/17,0.56,4,337
13864221,"Live, Love, Stay in the Bronx!",3213737,Vernise,Bronx,Allerton,40.86065857,-73.85413708,Private room,50,1,5,9/27/16,0.36,1,0
